feature,blank_mean_intensity,blank_median_intensity,blank_detection_rate,qc_mean_intensity,qc_median_intensity,qc_detection_rate,bio_mean_intensity,bio_median_intensity,bio_detection_rate,blank_to_qc_ratio,blank_to_bio_ratio,log10_blank_to_qc_ratio,log10_blank_to_bio_ratio,blank_dominant_flag,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-215,2.8087572872911077,1.378029687707698,0.5,33.18757460515258,35.77106964668127,1.0,36.01386453038788,34.98676238273782,1.0,0.11140764828391983,0.10290082744978359,-0.9530849932423311,-0.9875811329593336,False,1089.0277133500265,1089.0840974617545,1088.9738160692943,0.0318770459075913,1422.7716282760944,1429.112756517201,1425.6933220631165,1419.2835515569586,1415.3012233310244,1.4437953850017748
FT-079,2.55112722212645,0.0,0.3333333333333333,85.72907572772174,58.75250693056185,1.0,76.87344777391537,66.68390544128232,1.0,0.040945060146552234,0.045601258498740076,-1.3877984865898259,-1.3410231715566991,False,1077.2093617269695,1077.2780627278853,1077.1457095383691,0.033821129808481,1186.4594094558372,1193.3994246262791,1189.5073639083237,1183.6673357354396,1179.0351316011868,1.4609631651882211
FT-216,3.5683279711248996,3.6567417392090737,0.6666666666666666,113.67280832208658,102.4911177623973,1.0,121.22366006691719,116.4624512343023,1.0,0.03983793575800145,0.03737678914723835,-1.3997031730629752,-1.4273980094186696,False,1089.030599875195,1089.095919755252,1088.972675063831,0.0313230993416971,1438.9321184551102,1444.1166801452632,1440.781202333408,1436.371538780407,1431.385180950165,1.1684887685804148
FT-251,0.0,0.0,0.0,18.421988599663745,14.35205463037693,0.6875,25.889986654955198,6.363868573022891,0.6075949367088608,0.05148803351770648,0.03718856438389951,-1.2882936948637278,-1.4295905866903615,False,887.6472211426521,887.6812600576577,887.5895078640959,0.0254866335531941,674.3056333776316,681.8237132410858,677.5745826924477,670.8389651880215,666.8800310934755,1.6584137163707755
FT-174,0.0,0.0,0.0,37.48465694808375,26.05444097291577,0.9375,49.21328013165891,12.789078831028254,0.7468354430379747,0.025984381291199024,0.019915050308962214,-1.5852876196153047,-1.7008185921480963,False,1210.8304701216448,1210.9006110405176,1210.7634042850927,0.0393243797493412,928.6948296247882,936.6544350710782,933.2542365417872,923.4052741038936,921.7589794505756,2.2293708605911333
FT-235,1.039118094125091,0.0,0.16666666666666666,102.78573053057019,110.87905949090451,1.0,112.9043260638773,112.33717263234892,1.0,0.019647383929378103,0.017902025011601035,-1.7066952682234897,-1.7470978404378676,False,1034.9871234609543,1035.0479195722205,1034.9301733190198,0.0307738226139136,1385.9991044260155,1394.4329527557886,1388.520781427043,1383.2604731417296,1376.6256570034318,1.282938054828365
FT-238,0.0,0.0,0.0,74.77722454767705,78.49458484545265,1.0,69.2647233664748,65.10501477176487,1.0,0.013196577282542542,0.014231892649521582,-1.8795386945559909,-1.846737340774064,False,1083.34221048445,1083.4156648006433,1083.2876061219467,0.0332555834962821,1423.037280138564,1429.8039524371825,1425.2939780948373,1420.203550145215,1414.9106421837485,1.413257598599415
FT-249,0.0,0.0,0.0,57.44579966488082,56.93192353248253,1.0,69.50556272107815,68.85506772355723,1.0,0.017109869412923518,0.014183278047946744,-1.766753305097307,-1.8482233831440702,False,1069.709184439815,1069.7804240606993,1069.6449862815853,0.032195006247936,1158.0681524278946,1163.6372934068968,1160.4743729659026,1155.2261009596696,1149.9450179508715,1.242632907231868
FT-225,0.0,0.0,0.0,56.88954332566981,56.90819792015101,1.0,72.08094754962491,65.99604464265816,1.0,0.0172742768823428,0.013683456954645528,-1.762600123553262,-1.8638041696726404,False,1077.7143327045933,1077.774000301872,1077.655267159494,0.0311261598865204,1186.9637374633428,1193.886183441663,1190.5084643354585,1183.6865880769894,1179.1995339315472,1.6444793093376109
FT-126,0.0,0.0,0.0,113.85418146069082,74.14734952127291,1.0,81.41470107815415,66.7025931824941,1.0,0.008706692148968498,0.012133757532551097,-2.060146811043861,-1.9160046877607866,False,1089.3589349095078,1089.4148180416405,1089.3021122932485,0.0314652651679778,1439.0541834189,1443.9025790192345,1441.7753715424665,1435.925619866697,1431.709452784338,1.5876312466436946
