feature,detection_rate__all,detection_rate__B,detection_rate__SS,detection_rate__dQC,detection_rate__QC,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,detection_rate__biological,detection_rate__qc_like,detection_rate__blank,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-216,0.9705882352941176,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1089.030599875195,1089.095919755252,1088.972675063831,0.0313230993416971,1438.9321184551102,1444.1166801452632,1440.781202333408,1436.371538780407,1431.385180950165,1.1684887685804148
FT-215,0.9607843137254902,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1089.0277133500265,1089.0840974617545,1088.9738160692943,0.0318770459075913,1422.7716282760944,1429.112756517201,1425.6933220631165,1419.2835515569586,1415.3012233310244,1.4437953850017748
FT-001,0.9509803921568627,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,357.1095460532417,357.13001776258693,357.0918708763458,0.0106677196524816,543.8391573306372,563.0215297861308,546.9480172636777,540.0389236227292,528.530310569924,1.6622899874053183
FT-003,0.9509803921568627,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,355.11192836605056,355.13277183397463,355.093652971269,0.0105076185153148,543.9952686842126,566.9512848143872,547.1645032631232,540.6818824875846,526.9432134831192,1.6090714270597912
FT-021,0.9509803921568627,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,842.0756790432796,842.1224037031269,842.033147766642,0.0247411020790879,963.2789284715732,991.4065647125228,965.900100453346,960.78786884497,946.0247929199916,1.2723722014800722
FT-035,0.9509803921568627,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,924.1258165788284,924.180160162224,924.0777586734384,0.0272409259607433,1057.66078474932,1064.7259970025725,1060.338482301454,1055.0311780453726,1043.0294036865268,1.2380418932721453
FT-078,0.9509803921568627,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1077.205728818574,1077.2697492713137,1077.1507175425947,0.0315129711684634,1164.9081193819106,1176.015186999219,1167.311426224721,1162.4987461160683,1152.201798220714,1.193687829900949
FT-079,0.9509803921568627,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1077.2093617269695,1077.2780627278853,1077.1457095383691,0.033821129808481,1186.4594094558372,1193.3994246262791,1189.5073639083237,1183.6673357354396,1179.0351316011868,1.4609631651882211
FT-135,0.9509803921568627,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1173.2301124568482,1173.299758045921,1173.174174305768,0.03387592307933,1442.9947789043065,1461.5335927384624,1446.522009722994,1439.6890407160083,1429.7166348575215,1.5507356932126253
FT-176,0.9509803921568627,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,871.0972026876352,871.1464497877009,871.0521433276865,0.0261144448367921,967.075674195556,981.0014984824444,969.5888018377036,964.5575877934904,954.5241061123936,1.1831890005084889
FT-248,0.9509803921568627,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,925.1361960129163,925.1837228035912,925.0919226799238,0.0243451612151024,1057.851741314575,1064.927979546626,1060.4905075149256,1055.485902411153,1046.1234902046797,1.3621188340795582
FT-000,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,359.10876783781686,359.1305908171334,359.0901221835452,0.0109547170734129,543.8463735187979,561.2708790330984,546.6978027845545,539.9411557086032,528.714226872086,1.6839009587493627
FT-002,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,889.6499309783783,889.7022159640214,889.6015469549808,0.0255523760494532,609.0997423566134,627.7172511456954,611.7465009922388,606.4265533909693,596.7890463679698,1.324647395195849
FT-004,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,888.6453654740943,888.696941107057,888.6002022302245,0.0261611624589508,609.2556518766722,632.996441523236,612.0087323125949,606.7788089451603,595.4616877237953,1.2546838991479563
FT-005,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,886.6324598613013,886.683374655879,886.5806672354295,0.0260289685536768,609.4612894305731,638.0671635917994,612.0676440481267,606.7118780336342,593.3752149084339,1.2871308303822482
FT-006,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,887.6403722304062,887.6915980212889,887.5931182401197,0.0264112827320949,609.3874587233016,637.95713424683,612.0491366757302,606.703800297612,594.2041830964115,1.275730582215387
FT-007,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1051.7428230998376,1051.8068419482154,1051.6884774309774,0.0298114969532383,753.1931299912063,769.2830906743592,755.954961975586,750.5326793002214,740.815522359763,1.2930408108826212
FT-008,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1050.739663862885,1050.8005431176773,1050.68609043662,0.0312770967688553,753.4570032840134,778.2359707740052,756.2428605858503,750.7624984432473,739.0393890873064,1.2978240632867015
FT-009,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1049.7326640547776,1049.793638635969,1049.6793811125096,0.0309025666260832,753.5937523711316,783.2621119572547,756.1852169737052,751.1297724848172,737.9808130369114,1.236248501679714
FT-010,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1048.7247997662084,1048.78595409864,1048.6698763776742,0.0308250717841684,753.8246143446223,789.1346398643811,756.4360118983379,751.049813858065,736.9196307140818,1.2868549250467392
