feature,n_qc_samples,qc_detection_rate,qc_mean_intensity,qc_median_intensity,qc_std_intensity,qc_cv_pct,qc_mean_intensity_batch1,qc_cv_pct_batch1,qc_order_spearman_rho,qc_order_spearman_abs,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-001,16,1.0,2225.536943568739,2201.1664383732777,176.58181176403346,7.934346462965352,2225.536943568739,7.934346462965352,0.19705882352941176,0.19705882352941176,357.1095460532417,357.13001776258693,357.0918708763458,0.0106677196524816,543.8391573306372,563.0215297861308,546.9480172636777,540.0389236227292,528.530310569924,1.6622899874053183
FT-003,16,1.0,3676.3871476726326,3701.451652401385,309.73312608057995,8.424932240247307,3676.3871476726326,8.424932240247307,0.30882352941176466,0.30882352941176466,355.11192836605056,355.13277183397463,355.093652971269,0.0105076185153148,543.9952686842126,566.9512848143872,547.1645032631232,540.6818824875846,526.9432134831192,1.6090714270597912
FT-000,16,1.0,1524.5693513985927,1507.524169411825,130.05382054243123,8.530528337272678,1524.5693513985927,8.530528337272678,0.3411764705882353,0.3411764705882353,359.10876783781686,359.1305908171334,359.0901221835452,0.0109547170734129,543.8463735187979,561.2708790330984,546.6978027845545,539.9411557086032,528.714226872086,1.6839009587493627
FT-010,16,1.0,29386.32026906297,29919.911885509624,3159.446340008779,10.751418725041763,29386.32026906297,10.751418725041763,-0.34705882352941175,0.34705882352941175,1048.7247997662084,1048.78595409864,1048.6698763776742,0.0308250717841684,753.8246143446223,789.1346398643811,756.4360118983379,751.049813858065,736.9196307140818,1.2868549250467392
FT-009,16,1.0,15977.066281070063,16465.635062532936,1868.8373364375034,11.69699933367453,15977.066281070063,11.69699933367453,-0.37941176470588234,0.37941176470588234,1049.7326640547776,1049.793638635969,1049.6793811125096,0.0309025666260832,753.5937523711316,783.2621119572547,756.1852169737052,751.1297724848172,737.9808130369114,1.236248501679714
FT-008,16,1.0,6149.202168356023,6336.595825284498,762.9968269387292,12.408062152601413,6149.202168356023,12.408062152601413,-0.4058823529411764,0.4058823529411764,1050.739663862885,1050.8005431176773,1050.68609043662,0.0312770967688553,753.4570032840134,778.2359707740052,756.2428605858503,750.7624984432473,739.0393890873064,1.2978240632867015
FT-012,16,1.0,1649.2667877752604,1662.3477050580764,217.11599016979514,13.164394734624388,1649.2667877752604,13.164394734624388,-0.27058823529411763,0.27058823529411763,1210.8240555433492,1210.8955600828046,1210.7624399714518,0.0348255069275807,874.6067099501091,886.9375662181682,876.9385692997641,872.1006850718126,862.2934988270636,1.2505477918517685
FT-101,16,1.0,43239.0845382071,44013.196836291245,5722.976996901148,13.235657179199036,43239.0845382071,13.235657179199036,0.4558823529411765,0.4558823529411765,1222.7800653728018,1222.853415898867,1222.7169146828526,0.0354924396049877,1300.021420828775,1340.6451712215658,1302.407113605227,1297.540546705481,1283.5628868551817,1.204843434452595
FT-089,16,1.0,2032.678384664808,1940.479728517963,270.3792650628685,13.301625436797986,2032.678384664808,13.301625436797986,0.2411764705882353,0.2411764705882353,1233.2816716646137,1233.3544547572506,1233.2180624334412,0.0354944446073147,1299.4896330327,1318.851755163174,1301.5338470303554,1296.9599185364402,1284.7912920438337,1.2163430138721094
FT-007,16,1.0,1879.438143583619,1946.9414070172575,256.18313329310394,13.630836118108505,1879.438143583619,13.630836118108505,-0.4823529411764706,0.4823529411764706,1051.7428230998376,1051.8068419482154,1051.6884774309774,0.0298114969532383,753.1931299912063,769.2830906743592,755.954961975586,750.5326793002214,740.815522359763,1.2930408108826212
FT-161,16,1.0,2261.558763434563,2275.4969130748264,309.0068658534034,13.66344624112812,2261.558763434563,13.66344624112812,0.18529411764705883,0.18529411764705883,1255.783773964013,1255.857464327852,1255.718137993478,0.0376269232141806,1499.2176641397284,1516.2742759870457,1501.9539524350391,1496.516673083489,1484.1305376135774,1.3130847980307403
FT-011,16,1.0,941.284421070307,965.836450041784,131.05852792049086,13.923371617206628,941.284421070307,13.923371617206628,-0.31176470588235294,0.31176470588235294,1211.8279152595003,1211.899520416236,1211.762666802262,0.0363039936634745,874.6133425350365,886.9604836740813,876.7821117479145,872.0452383104141,863.3168395873045,1.2291365451074237
FT-169,16,1.0,5079.026956656628,5206.888929642353,717.8230194034932,14.133081504178797,5079.026956656628,14.133081504178797,-0.26176470588235295,0.26176470588235295,1335.3236370967948,1335.4007747123198,1335.2512011728293,0.0394608635400237,1551.257112257207,1571.1934994113076,1553.9358403162698,1548.4957449461135,1537.5793297060084,1.3274352834805834
FT-165,16,1.0,4330.35494209882,4300.575653459818,614.0570918667202,14.1802946889407,4330.35494209882,14.1802946889407,0.18235294117647058,0.18235294117647058,1255.2798171824015,1255.3525416489088,1255.2149199475878,0.036872816699603,1499.3447722912745,1520.15945308811,1501.9008236691704,1496.6776349502495,1481.9525590833746,1.2738417443216894
