sample,batch,class,order,PC1,PC2
20241106-297-Diluted-QC1,1,dQC,7,-25.45908846461909,0.9536258736373892
20241106-297-Diluted-QC2,1,dQC,8,-15.717629845366686,2.7044226142495873
20241106-297-Diluted-QC3,1,dQC,9,-17.326663530795496,5.401249909074684
20241106-297-Diluted-QC4,1,dQC,10,-7.605577990242793,2.705571483851113
20241106-297-Diluted-QC5,1,dQC,11,5.733188287169639,5.795562388842297
20241106-297-QC1,1,QC,12,5.236504491708347,4.505018782049493
20241106-297-QC2,1,QC,13,-7.901290125785685,-2.0713975312753834
20241106-297-QC3,1,QC,14,13.35588048370088,5.502428913370029
20241106-297-QC4,1,QC,26,13.754611009936982,4.06864754326506
20241106-297-QC5,1,QC,38,9.571819797513694,2.4325967497371184
20241106-297-QC6,1,QC,50,18.881858090940263,-0.48291486347262047
20241106-297-QC7,1,QC,62,1.384389077244397,-20.54961917038342
20241106-297-QC8,1,QC,74,2.581229418157851,-2.3977108676642476
20241106-297-QC9,1,QC,86,4.7321064185366035,-3.3031376077968844
20241106-297-QC10,1,QC,100,2.088436933547224,-0.5574914801843784
20241106-297-QC11,1,QC,101,-3.309774051646125,-4.7068527372998386
