sample,total_signal,log10_total_signal_plus1,detected_features,detection_rate,zero_fraction,mean_feature_intensity_nonzero,class,id,order,batch,spearman_corr_to_class_median,log10_total_signal_plus1_robust_z,detected_features_robust_z,zero_fraction_robust_z,spearman_corr_to_class_median_robust_z,outlier_total_signal,outlier_detected_features,outlier_zero_fraction,outlier_class_profile,any_outlier_flag
20241106-297-Blank1,28.53164813977596,1.4702876853002023,6,0.023809523809523808,0.9761904761904762,4.75527468996266,B,20241106-297-Blank1,1,1,0.5633459887355554,-64.13413861551767,-165.2525,165.25250000000003,-41.136546010224535,True,True,True,True,True
20241106-297-Blank2,29.55166478016734,1.485034880213316,6,0.023809523809523808,0.9761904761904762,4.9252774633612235,B,20241106-297-Blank2,2,1,0.2793389978338397,-63.91992729336173,-165.2525,165.25250000000003,-68.67202791053231,True,True,True,True,True
20241106-297-Blank3,63.79922055016516,1.8115697819076597,9,0.03571428571428571,0.9642857142857143,7.088802283351685,B,20241106-297-Blank3,3,1,0.4703913168860299,-59.176823711011416,-163.22899999999998,163.229,-50.148830095680104,True,True,True,True,True
20241106-297-Experimental_Blank,241703.3389053496,5.383284446625017,64,0.25396825396825395,0.746031746031746,3776.6146703960867,SS,20241106-297-Experimental_Blank,4,1,0.9999999999999999,-7.295654091930913,-126.1315,126.13150000000002,1.1986042115873372,True,True,True,False,True
20241106-297-Diluted-QC1,557833.7734337554,5.7465055831456775,251,0.996031746031746,0.003968253968253968,2222.4453124850816,dQC,20241106-297-Diluted-QC1,7,1,0.9909923623766659,-2.0196622611123605,0.0,0.0,0.32528189668812874,False,False,False,False,False
20241106-297-Diluted-QC2,633451.3013756614,5.801713918305097,248,0.9841269841269841,0.015873015873015872,2554.2391184502467,dQC,20241106-297-Diluted-QC2,8,1,0.9898167311574428,-1.2177300605681272,-2.0235,2.0235,0.21130029343401963,False,False,False,False,False
20241106-297-Diluted-QC3,592507.5460319839,5.77269461876276,251,0.996031746031746,0.003968253968253968,2360.5878327967475,dQC,20241106-297-Diluted-QC3,9,1,0.9750369639802623,-1.6392517505998971,0.0,0.0,-1.2216503895963648,False,False,False,False,False
20241106-297-Diluted-QC4,676026.7057085478,5.829964495038933,251,0.996031746031746,0.003968253968253968,2693.333488878678,dQC,20241106-297-Diluted-QC4,10,1,0.9925929564193103,-0.8073745028178378,0.0,0.0,0.4804651481674167,False,False,False,False,False
20241106-297-Diluted-QC5,856311.508682156,5.932632288074052,250,0.9920634920634921,0.007936507936507936,3425.2460347286233,dQC,20241106-297-Diluted-QC5,11,1,0.9549025551675765,0.683933086080268,-0.6745,0.6745,-3.1737525110084674,False,False,False,False,False
20241106-297-QC1,821711.8798646646,5.914720094336789,251,0.996031746031746,0.003968253968253968,3273.752509420974,QC,20241106-297-QC1,12,1,0.9690797912209997,0.4237483712393101,0.0,0.0,-1.7992193507296013,False,False,False,False,False
