class,batch,mean,median,min,max,threshold
B,1,0.01917989417989418,0.021825396825396824,0.003968253968253968,0.03571428571428571,0.0
Dunn,1,0.9936801881246325,0.996031746031746,0.9722222222222222,1.0,0.0
French,1,0.998015873015873,1.0,0.9920634920634921,1.0,0.0
LMU,1,0.9856532356532356,0.9880952380952381,0.9642857142857143,0.996031746031746,0.0
QC,1,0.9942279942279942,0.996031746031746,0.9841269841269841,1.0,0.0
SS,1,0.25396825396825395,0.25396825396825395,0.25396825396825395,0.25396825396825395,0.0
dQC,1,0.9928571428571429,0.996031746031746,0.9841269841269841,0.996031746031746,0.0
B,1,0.018518518518518517,0.01984126984126984,0.003968253968253968,0.03571428571428571,1.0
Dunn,1,0.993533215755438,0.996031746031746,0.9682539682539683,1.0,1.0
French,1,0.998015873015873,1.0,0.9920634920634921,1.0,1.0
LMU,1,0.9856532356532356,0.9880952380952381,0.9642857142857143,0.996031746031746,1.0
QC,1,0.9942279942279942,0.996031746031746,0.9841269841269841,1.0,1.0
SS,1,0.25396825396825395,0.25396825396825395,0.25396825396825395,0.25396825396825395,1.0
dQC,1,0.9928571428571429,0.996031746031746,0.9841269841269841,0.996031746031746,1.0
B,1,0.0,0.0,0.0,0.0,10.0
Dunn,1,0.9904467960023516,0.9920634920634921,0.9642857142857143,0.996031746031746,10.0
French,1,0.9972527472527474,0.996031746031746,0.9920634920634921,1.0,10.0
LMU,1,0.9795482295482295,0.9821428571428571,0.9484126984126984,0.996031746031746,10.0
QC,1,0.9924242424242423,0.996031746031746,0.9722222222222222,1.0,10.0
SS,1,0.1984126984126984,0.1984126984126984,0.1984126984126984,0.1984126984126984,10.0
dQC,1,0.9865079365079366,0.9841269841269841,0.9841269841269841,0.9920634920634921,10.0
B,1,0.0,0.0,0.0,0.0,100.0
Dunn,1,0.934891240446796,0.9404761904761905,0.8174603174603174,0.9682539682539683,100.0
French,1,0.9210927960927962,0.9226190476190477,0.8888888888888888,0.9523809523809523,100.0
LMU,1,0.9082722832722833,0.9146825396825397,0.8253968253968254,0.9523809523809523,100.0
QC,1,0.9227994227994227,0.9325396825396826,0.8293650793650794,0.9642857142857143,100.0
SS,1,0.15476190476190477,0.15476190476190477,0.15476190476190477,0.15476190476190477,100.0
dQC,1,0.8817460317460318,0.8809523809523809,0.8373015873015873,0.9365079365079365,100.0
B,1,0.0,0.0,0.0,0.0,1000.0
Dunn,1,0.644620811287478,0.6388888888888888,0.5119047619047619,0.7301587301587301,1000.0
French,1,0.6094322344322344,0.6011904761904762,0.5317460317460317,0.7063492063492064,1000.0
LMU,1,0.6246947496947496,0.6309523809523809,0.49206349206349204,0.7301587301587301,1000.0
QC,1,0.636002886002886,0.6349206349206349,0.5357142857142857,0.7063492063492064,1000.0
SS,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1000.0
dQC,1,0.5444444444444445,0.5158730158730159,0.4523809523809524,0.6626984126984127,1000.0
