sample,class,order,batch
20241106-297-Dunn-20,Dunn,15,1
20241106-297-Dunn-17,Dunn,18,1
20241106-297-Dunn-7,Dunn,19,1
20241106-297-Dunn-1,Dunn,21,1
20241106-297-Dunn-21,Dunn,24,1
20241106-297-Dunn-5,Dunn,29,1
20241106-297-Dunn-4,Dunn,33,1
20241106-297-Dunn-23,Dunn,34,1
20241106-297-Dunn-11,Dunn,36,1
20241106-297-Dunn-26,Dunn,37,1
20241106-297-Dunn-19,Dunn,39,1
20241106-297-Dunn-12,Dunn,43,1
20241106-297-Dunn-8,Dunn,48,1
20241106-297-Dunn-25,Dunn,49,1
20241106-297-Dunn-24,Dunn,54,1
20241106-297-Dunn-2,Dunn,55,1
20241106-297-Dunn-9,Dunn,59,1
20241106-297-Dunn-14,Dunn,70,1
20241106-297-Dunn-6,Dunn,72,1
20241106-297-Dunn-15,Dunn,75,1
20241106-297-Dunn-10,Dunn,81,1
20241106-297-Dunn-3,Dunn,83,1
20241106-297-Dunn-18,Dunn,85,1
20241106-297-Dunn-16,Dunn,91,1
20241106-297-Dunn-22,Dunn,97,1
20241106-297-Dunn-27,Dunn,99,1
20241106-297-French-2,French,16,1
20241106-297-French-18,French,20,1
20241106-297-French-25,French,22,1
20241106-297-French-7,French,23,1
20241106-297-French-13,French,25,1
20241106-297-French-16,French,27,1
20241106-297-French-11,French,31,1
20241106-297-French-9,French,35,1
20241106-297-French-19,French,40,1
20241106-297-French-20,French,41,1
20241106-297-French-6,French,46,1
20241106-297-French-15,French,47,1
20241106-297-French-24,French,51,1
20241106-297-French-14,French,53,1
20241106-297-French-12,French,57,1
20241106-297-French-3,French,60,1
20241106-297-French-5,French,66,1
20241106-297-French-21,French,67,1
20241106-297-French-10,French,76,1
20241106-297-French-17,French,78,1
20241106-297-French-8,French,80,1
20241106-297-French-1,French,88,1
20241106-297-French-4,French,90,1
20241106-297-French-22,French,93,1
20241106-297-French-23,French,95,1
20241106-297-French-26,French,98,1
20241106-297-LMU-8,LMU,17,1
20241106-297-LMU-26,LMU,28,1
20241106-297-LMU-24,LMU,30,1
20241106-297-LMU-10,LMU,32,1
20241106-297-LMU-17,LMU,42,1
20241106-297-LMU-12,LMU,44,1
20241106-297-LMU-20,LMU,45,1
20241106-297-LMU-14,LMU,52,1
20241106-297-LMU-25,LMU,56,1
20241106-297-LMU-5,LMU,58,1
20241106-297-LMU-9,LMU,61,1
20241106-297-LMU-3,LMU,68,1
20241106-297-LMU-7,LMU,69,1
20241106-297-LMU-21,LMU,71,1
20241106-297-LMU-19,LMU,73,1
20241106-297-LMU-11,LMU,77,1
20241106-297-LMU-2,LMU,79,1
20241106-297-LMU-1,LMU,82,1
20241106-297-LMU-13,LMU,84,1
20241106-297-LMU-22,LMU,87,1
20241106-297-LMU-4,LMU,89,1
20241106-297-LMU-15,LMU,92,1
20241106-297-LMU-16,LMU,94,1
20241106-297-LMU-18,LMU,96,1
