feature_a,feature_b,spearman_rho,mz_a,mz_b,rt_a,rt_b,mz_diff,rt_diff,candidate_isomer,candidate_isotope_or_adduct,high_corr_near_duplicate,high_corr_other,relation_type
FT-145,FT-146,0.3281203007518797,1632.0422244647154,1633.038705134174,1455.2449080604651,1439.0391430336188,0.9964806694586059,16.205765026846393,False,True,False,False,candidate_isotope_or_adduct
FT-174,FT-012,0.1373997260262334,1210.8304701216448,1210.8240555433492,928.6948296247882,874.6067099501091,0.006414578295562023,54.08811967467909,True,False,False,False,candidate_isomer
FT-188,FT-186,0.1619958988380041,931.123316275561,931.6243046494036,1102.1879690833632,1102.186769188893,0.5009883738425742,0.001199894470119034,False,True,False,False,candidate_isotope_or_adduct
FT-188,FT-189,0.1130827067669173,931.123316275561,931.123020951668,1102.1879690833632,1117.150900959169,0.0002953238930558655,14.96293187580568,True,False,False,False,candidate_isomer
FT-188,FT-187,0.10373205741626794,931.123316275561,931.6249044842097,1102.1879690833632,1117.1180883829777,0.5015882086486272,14.93011929961449,False,True,False,False,candidate_isotope_or_adduct
FT-217,FT-245,0.3660970608339029,1089.0287993120237,1083.02130840629,1473.4388815633502,1473.1330249701502,6.007490905733675,0.30585659319990555,False,True,False,False,candidate_isotope_or_adduct
FT-217,FT-133,0.6811756664388243,1089.0287993120237,1088.3554957275571,1473.4388815633502,1455.6188085752144,0.6733035844665665,17.820072988135735,False,True,False,False,candidate_isotope_or_adduct
FT-217,FT-241,0.3626794258373206,1089.0287993120237,1083.3479141235127,1473.4388815633502,1473.3785589320328,5.680885188510956,0.06032263131737636,False,True,False,False,candidate_isotope_or_adduct
FT-217,FT-244,0.4057142857142857,1089.0287993120237,1083.0144831519058,1473.4388815633502,1455.407052190095,6.0143161601179145,18.03182937325505,False,True,False,False,candidate_isotope_or_adduct
FT-217,FT-240,0.3780997949419002,1089.0287993120237,1083.3466638903149,1473.4388815633502,1455.299982043751,5.682135421708836,18.138899519599136,False,True,False,False,candidate_isotope_or_adduct
FT-217,FT-123,0.7288038277511961,1089.0287993120237,1089.0265712685955,1473.4388815633502,1455.280496632148,0.0022280434282038186,18.158384931202136,True,False,False,False,candidate_isomer
FT-172,FT-005,-0.0014238789422487232,886.6352611425967,886.6324598613013,674.1885161473726,609.4612894305731,0.002801281295433,64.72722671679958,True,False,False,False,candidate_isomer
FT-089,FT-101,0.6582911825017088,1233.2816716646137,1222.7800653728018,1299.4896330327,1300.021420828775,10.501606291811868,0.5317877960749229,False,True,False,False,candidate_isotope_or_adduct
FT-089,FT-105,0.4552016404647984,1233.2816716646137,1222.2792600253013,1299.4896330327,1300.11549170832,11.002411639312413,0.6258586756198383,False,True,False,False,candidate_isotope_or_adduct
FT-089,FT-083,0.5337252221462748,1233.2816716646137,1224.8042649657891,1299.4896330327,1299.2791674223463,8.477406698824552,0.21046561035382183,False,True,False,False,candidate_isotope_or_adduct
FT-089,FT-093,0.6428434723171566,1233.2816716646137,1233.7846794103978,1299.4896330327,1299.2759946740543,0.5030077457840889,0.21363835864576686,False,True,False,False,candidate_isotope_or_adduct
FT-089,FT-098,0.6772932330827067,1233.2816716646137,1234.285360466548,1299.4896330327,1298.978903962394,1.0036888019342314,0.5107290703060698,False,True,False,False,candidate_isotope_or_adduct
FT-089,FT-142,0.6545181134654818,1233.2816716646137,1223.287004668688,1299.4896330327,1299.8451740769872,9.994666995925627,0.35554104428706523,False,True,False,False,candidate_isotope_or_adduct
FT-089,FT-085,0.6029528366370471,1233.2816716646137,1224.2975971419808,1299.4896330327,1299.5622354883926,8.984074522632909,0.07260245569250401,False,True,False,False,candidate_isotope_or_adduct
FT-089,FT-088,0.6162952836637047,1233.2816716646137,1223.7937689750972,1299.4896330327,1299.7601011100369,9.487902689516432,0.2704680773367727,False,True,False,False,candidate_isotope_or_adduct
FT-089,FT-081,0.31682843472317157,1233.2816716646137,1225.305158770853,1299.4896330327,1299.0897146683544,7.976512893760628,0.3999183643456945,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-225,0.22944634313055365,1077.2093617269695,1077.7143327045933,1186.4594094558372,1186.9637374633428,0.5049709776237705,0.5043280075055918,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-078,0.15444976076555023,1077.2093617269695,1077.205728818574,1186.4594094558372,1164.9081193819106,0.0036329083955024544,21.551290073926566,True,False,False,False,candidate_isomer
FT-079,FT-049,-0.006370471633629528,1077.2093617269695,1097.2225774589213,1186.4594094558372,1176.9292956095635,20.013215731951732,9.530113846273707,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-055,0.2856049213943951,1077.2093617269695,1105.7327676680493,1186.4594094558372,1180.3586166880116,28.523405941079773,6.100792767825624,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-080,0.3406971975393028,1077.2093617269695,1077.2019763854523,1186.4594094558372,1212.614388815364,0.007385341517192501,26.154979359526806,True,False,False,False,candidate_isomer
FT-079,FT-193,0.5726042378673958,1077.2093617269695,1068.7043278235449,1186.4594094558372,1173.5611587867572,8.505033903424646,12.898250669079971,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-194,0.2374025974025974,1077.2093617269695,1106.736189796707,1186.4594094558372,1180.3607794138811,29.526828069737576,6.098630041956085,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-053,-0.013151059466848941,1077.2093617269695,1097.723992703951,1186.4594094558372,1176.67239430599,20.51463097698138,9.787015149847093,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-220,0.008393711551606288,1077.2093617269695,1098.2292261588002,1186.4594094558372,1176.4712324222012,21.019864431830683,9.98817703363602,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-052,0.5383185235816815,1077.2093617269695,1069.2070748658969,1186.4594094558372,1173.5811959662594,8.002286861072662,12.878213489577774,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-054,0.3393028024606972,1077.2093617269695,1106.2349666883931,1186.4594094558372,1180.403233758563,29.025604961423596,6.056175697274284,False,True,False,False,candidate_isotope_or_adduct
FT-079,FT-250,0.5506493506493506,1077.2093617269695,1069.708344315076,1186.4594094558372,1173.681223284433,7.501017411893599,12.778186171404286,False,True,False,False,candidate_isotope_or_adduct
FT-002,FT-006,0.975557074504443,889.6499309783783,887.6403722304062,609.0997423566134,609.3874587233016,2.0095587479720507,0.287716366688187,False,True,True,True,candidate_isotope_or_adduct_correlated
FT-002,FT-005,0.96257006151743,889.6499309783783,886.6324598613013,609.0997423566134,609.4612894305731,3.0174711170769797,0.3615470739596276,False,True,False,True,candidate_isotope_or_adduct_correlated
