redundancy_cluster_id,cluster_size,representative_feature
RG-010,25,FT-076
RG-009,24,FT-101
RG-014,17,FT-206
RG-015,16,FT-066
RG-007,14,FT-243
RG-018,12,FT-161
RG-024,9,FT-031
RG-016,8,FT-102
RG-017,8,FT-046
RG-012,7,FT-040
RG-026,7,FT-021
RG-011,6,FT-168
RG-008,5,FT-005
RG-004,4,FT-186
RG-021,4,FT-030
RG-022,4,FT-010
RG-003,3,FT-174
RG-025,3,FT-135
RG-029,3,FT-082
RG-001,2,FT-145
RG-013,2,FT-110
RG-019,2,FT-023
RG-020,2,FT-178
RG-023,2,FT-096
RG-027,2,FT-184
RG-030,2,FT-179
RG-002,1,FT-015
RG-005,1,FT-028
RG-006,1,FT-156
RG-028,1,FT-205
