sample,class,id,order,batch
20241106-297-Blank1,B,20241106-297-Blank1,1,1
20241106-297-Blank2,B,20241106-297-Blank2,2,1
20241106-297-Blank3,B,20241106-297-Blank3,3,1
20241106-297-Experimental_Blank,SS,20241106-297-Experimental_Blank,4,1
20241106-297-Diluted-QC1,dQC,20241106-297-Diluted-QC1,7,1
20241106-297-Diluted-QC2,dQC,20241106-297-Diluted-QC2,8,1
20241106-297-Diluted-QC3,dQC,20241106-297-Diluted-QC3,9,1
20241106-297-Diluted-QC4,dQC,20241106-297-Diluted-QC4,10,1
20241106-297-Diluted-QC5,dQC,20241106-297-Diluted-QC5,11,1
20241106-297-QC1,QC,20241106-297-QC1,12,1
20241106-297-QC2,QC,20241106-297-QC2,13,1
20241106-297-QC3,QC,20241106-297-QC3,14,1
20241106-297-Dunn-20,Dunn,20241106-297-Dunn-20,15,1
20241106-297-French-2,French,20241106-297-French-2,16,1
20241106-297-LMU-8,LMU,20241106-297-LMU-8,17,1
20241106-297-Dunn-17,Dunn,20241106-297-Dunn-17,18,1
20241106-297-Dunn-7,Dunn,20241106-297-Dunn-7,19,1
20241106-297-French-18,French,20241106-297-French-18,20,1
20241106-297-Dunn-1,Dunn,20241106-297-Dunn-1,21,1
20241106-297-French-25,French,20241106-297-French-25,22,1
20241106-297-French-7,French,20241106-297-French-7,23,1
20241106-297-Dunn-21,Dunn,20241106-297-Dunn-21,24,1
20241106-297-French-13,French,20241106-297-French-13,25,1
20241106-297-QC4,QC,20241106-297-QC4,26,1
20241106-297-French-16,French,20241106-297-French-16,27,1
20241106-297-LMU-26,LMU,20241106-297-LMU-26,28,1
20241106-297-Dunn-5,Dunn,20241106-297-Dunn-5,29,1
20241106-297-LMU-24,LMU,20241106-297-LMU-24,30,1
20241106-297-French-11,French,20241106-297-French-11,31,1
20241106-297-LMU-10,LMU,20241106-297-LMU-10,32,1
20241106-297-Dunn-4,Dunn,20241106-297-Dunn-4,33,1
20241106-297-Dunn-23,Dunn,20241106-297-Dunn-23,34,1
20241106-297-French-9,French,20241106-297-French-9,35,1
20241106-297-Dunn-11,Dunn,20241106-297-Dunn-11,36,1
20241106-297-Dunn-26,Dunn,20241106-297-Dunn-26,37,1
20241106-297-QC5,QC,20241106-297-QC5,38,1
20241106-297-Dunn-19,Dunn,20241106-297-Dunn-19,39,1
20241106-297-French-19,French,20241106-297-French-19,40,1
20241106-297-French-20,French,20241106-297-French-20,41,1
20241106-297-LMU-17,LMU,20241106-297-LMU-17,42,1
20241106-297-Dunn-12,Dunn,20241106-297-Dunn-12,43,1
20241106-297-LMU-12,LMU,20241106-297-LMU-12,44,1
20241106-297-LMU-20,LMU,20241106-297-LMU-20,45,1
20241106-297-French-6,French,20241106-297-French-6,46,1
20241106-297-French-15,French,20241106-297-French-15,47,1
20241106-297-Dunn-8,Dunn,20241106-297-Dunn-8,48,1
20241106-297-Dunn-25,Dunn,20241106-297-Dunn-25,49,1
20241106-297-QC6,QC,20241106-297-QC6,50,1
20241106-297-French-24,French,20241106-297-French-24,51,1
20241106-297-LMU-14,LMU,20241106-297-LMU-14,52,1
20241106-297-French-14,French,20241106-297-French-14,53,1
20241106-297-Dunn-24,Dunn,20241106-297-Dunn-24,54,1
20241106-297-Dunn-2,Dunn,20241106-297-Dunn-2,55,1
20241106-297-LMU-25,LMU,20241106-297-LMU-25,56,1
20241106-297-French-12,French,20241106-297-French-12,57,1
20241106-297-LMU-5,LMU,20241106-297-LMU-5,58,1
20241106-297-Dunn-9,Dunn,20241106-297-Dunn-9,59,1
20241106-297-French-3,French,20241106-297-French-3,60,1
20241106-297-LMU-9,LMU,20241106-297-LMU-9,61,1
20241106-297-QC7,QC,20241106-297-QC7,62,1
20241106-297-Dunn-13,Dunn,20241106-297-Dunn-13,63,1
20241106-297-LMU-6,LMU,20241106-297-LMU-6,64,1
20241106-297-LMU-23,LMU,20241106-297-LMU-23,65,1
20241106-297-French-5,French,20241106-297-French-5,66,1
20241106-297-French-21,French,20241106-297-French-21,67,1
20241106-297-LMU-3,LMU,20241106-297-LMU-3,68,1
20241106-297-LMU-7,LMU,20241106-297-LMU-7,69,1
