feature,n_qc_samples_qc_only,qc_detection_rate_qc_only,qc_mean_intensity_qc_only,qc_cv_pct_qc_only,qc_order_spearman_rho_qc_only,qc_order_spearman_abs_qc_only,mz,rt,n_qc_samples_dqc_only,qc_detection_rate_dqc_only,qc_mean_intensity_dqc_only,qc_cv_pct_dqc_only,qc_order_spearman_rho_dqc_only,qc_order_spearman_abs_dqc_only,stable_qc_only_30,stable_dqc_only_30,stable_in_both_30,cv_gap_dqc_minus_qc,abs_drift_gap,potential_concentration_sensitive_flag
FT-000,11,1.0,1555.658673077971,9.195469765784631,0.19090909090909092,0.19090909090909092,359.10876783781686,543.8463735187979,5,1.0,1456.1728437039606,4.212939295721932,0.7,0.7,True,True,True,-4.9825304700627,0.509090909090909,False
FT-001,11,1.0,2260.7097171459673,8.921596940475315,0.09090909090909091,0.09090909090909091,357.1095460532417,543.8391573306372,5,1.0,2148.156841698837,3.0681695175472585,-0.7999999999999999,0.7999999999999999,True,True,True,-5.853427422928056,0.709090909090909,False
FT-002,11,1.0,1375.0627606749038,20.949984396401003,-0.21818181818181823,0.21818181818181823,889.6499309783783,609.0997423566134,5,1.0,1667.7898673382035,38.31402327747742,-0.49999999999999994,0.49999999999999994,True,False,False,17.364038881076414,0.28181818181818175,True
FT-003,11,1.0,3730.8704546326985,9.194400726943972,0.24545454545454545,0.24545454545454545,355.11192836605056,543.9952686842126,5,1.0,3556.5238723604866,5.585141774995058,-0.6,0.6,True,True,True,-3.609258951948914,0.3545454545454545,False
FT-004,11,1.0,4927.071786112868,20.655924897670747,-0.30000000000000004,0.30000000000000004,888.6453654740943,609.2556518766722,5,1.0,5777.019562265412,39.22747391034765,-0.6,0.6,True,False,False,18.5715490126769,0.29999999999999993,True
FT-005,11,1.0,30133.94500837972,17.73829242015375,-0.10909090909090911,0.10909090909090911,886.6324598613013,609.4612894305731,5,1.0,34151.11838415392,35.017564110100096,-0.49999999999999994,0.49999999999999994,True,False,False,17.279271689946345,0.3909090909090908,True
FT-006,11,1.0,14237.665886413428,19.62020863947125,-0.20909090909090913,0.20909090909090913,887.6403722304062,609.3874587233016,5,1.0,16686.037311357086,37.919994548977776,-0.6,0.6,True,False,False,18.299785909506525,0.3909090909090909,True
FT-007,11,1.0,1808.8712306525003,15.367131201067654,-0.16363636363636366,0.16363636363636366,1051.7428230998376,753.1931299912063,5,1.0,2034.6853520320794,4.693517932792014,0.0,0.0,True,True,True,-10.67361326827564,0.16363636363636366,False
FT-008,11,1.0,5947.237607897971,14.062650040033535,-0.24545454545454545,0.24545454545454545,1050.739663862885,753.4570032840134,5,1.0,6593.524201363737,4.167536423298423,0.7,0.7,True,True,True,-9.895113616735113,0.4545454545454545,False
FT-009,11,1.0,15570.570638268107,13.725603608915709,-0.24545454545454545,0.24545454545454545,1049.7326640547776,753.5937523711316,5,1.0,16871.356695234368,2.807746947555693,0.3,0.3,True,True,True,-10.917856661360016,0.054545454545454536,False
FT-010,11,1.0,28860.09038225068,12.85291024301093,-0.26363636363636367,0.26363636363636367,1048.7247997662084,753.8246143446223,5,1.0,30544.026020049998,2.5309125855796175,0.3,0.3,True,True,True,-10.321997657431313,0.03636363636363632,False
FT-011,11,1.0,915.2158818474385,16.511493756844672,-0.02727272727272728,0.02727272727272728,1211.8279152595003,874.6133425350365,5,1.0,998.6352073606173,3.6670932256305164,-0.09999999999999999,0.09999999999999999,True,True,True,-12.844400531214156,0.07272727272727271,False
FT-012,11,1.0,1601.0158028281076,13.354849930846736,-0.11818181818181818,0.11818181818181818,1210.8240555433492,874.6067099501091,5,1.0,1755.4189546589957,11.673887433614476,0.19999999999999998,0.19999999999999998,True,True,True,-1.6809624972322599,0.0818181818181818,False
FT-013,11,0.8181818181818182,464.2807048759787,144.68390593192333,-0.692484712318872,0.692484712318872,1210.8270502489595,899.7233926516836,5,0.8,133.4805756875559,59.77102211258875,-0.49999999999999994,0.49999999999999994,False,False,False,-84.91288381933458,0.19248471231887204,False
FT-014,11,1.0,2940.045780604,15.496130230170497,-0.44545454545454555,0.44545454545454555,843.583190546885,963.0868614775412,5,1.0,2232.4422475440288,20.25983200729826,0.8999999999999998,0.8999999999999998,True,True,True,4.763701777127764,0.45454545454545425,False
FT-015,11,0.9090909090909091,1771.7918161540524,37.60354190566894,-0.33636363636363636,0.33636363636363636,1685.172273985871,962.883033571473,5,1.0,1411.0098448944032,29.832945790992156,0.8999999999999998,0.8999999999999998,False,True,False,-7.770596114676785,0.5636363636363635,False
FT-016,11,1.0,1561.674546994932,20.71419470253897,-0.3545454545454546,0.3545454545454546,870.5947196667247,967.2980513141862,5,1.0,1335.5142527831586,27.12128262813301,0.8999999999999998,0.8999999999999998,True,True,True,6.407087925594041,0.5454545454545452,False
FT-017,11,1.0,3497.7871295181085,35.53642037928517,-0.36363636363636365,0.36363636363636365,1684.17080155624,963.0445524548423,5,1.0,2798.9529366148586,33.46738059294913,0.8999999999999998,0.8999999999999998,False,False,False,-2.0690397863360417,0.5363636363636362,False
FT-018,11,1.0,2618.2826099031004,20.705922401654234,-0.08181818181818183,0.08181818181818183,1372.9191123009864,980.422438027575,5,1.0,2942.50234969741,12.024719900726003,0.09999999999999999,0.09999999999999999,True,True,True,-8.681202500928231,0.01818181818181816,False
FT-019,11,1.0,4317.111000476242,36.218192472724084,-0.39090909090909093,0.39090909090909093,1683.166364634833,963.0453163090324,5,1.0,3674.343227172143,21.787930287267308,0.9999999999999999,0.9999999999999999,False,True,False,-14.430262185456776,0.6090909090909089,False
FT-020,11,1.0,13253.899296059715,14.308862868394263,-0.44545454545454555,0.44545454545454555,842.5773942493681,963.3235892455184,5,1.0,10389.096294079969,25.844783648929187,0.8999999999999998,0.8999999999999998,True,True,True,11.535920780534925,0.45454545454545425,False
FT-021,11,1.0,16339.373024466828,14.104446153805094,-0.45454545454545453,0.45454545454545453,842.0756790432796,963.2789284715732,5,1.0,12468.783857807632,22.55355566413425,0.8999999999999998,0.8999999999999998,True,True,True,8.449109510329157,0.44545454545454527,False
FT-022,11,1.0,2145.1829461861403,29.966489119330678,-0.27272727272727276,0.27272727272727276,1454.994982263801,1013.8599853437128,5,1.0,1461.1910805270454,25.24125857324582,0.8999999999999998,0.8999999999999998,True,True,True,-4.725230546084859,0.627272727272727,False
FT-023,11,1.0,1724.8333027315362,18.756711988872706,-0.05454545454545456,0.05454545454545456,1373.9225103480585,980.4212867734888,5,1.0,1865.0430536807119,8.286971836045044,-0.09999999999999999,0.09999999999999999,True,True,True,-10.469740152827661,0.045454545454545435,False
FT-024,11,1.0,2644.757789195588,16.923349116532123,-0.4000000000000001,0.4000000000000001,944.6434806058312,1013.805438811442,5,1.0,1890.9413272110746,24.61155957208337,0.8999999999999998,0.8999999999999998,True,True,True,7.688210455551246,0.4999999999999997,False
FT-025,11,1.0,6916.847979690364,14.935593560196557,-0.36363636363636365,0.36363636363636365,843.080105891697,963.2439588234024,5,1.0,5451.606987967656,24.61552633597609,0.8999999999999998,0.8999999999999998,True,True,True,9.679932775779532,0.5363636363636362,False
FT-026,11,1.0,2430.6218039658693,20.10396235132519,-0.26363636363636367,0.26363636363636367,727.9951742528884,1014.168080213055,5,1.0,1648.3888782007384,24.343655632831478,0.8999999999999998,0.8999999999999998,True,True,True,4.2396932815062875,0.6363636363636361,False
FT-027,11,1.0,4768.958402143237,16.833738644468834,-0.5,0.5,944.1420067072388,1013.8565207197244,5,1.0,3468.301513163967,27.37616457265768,0.8999999999999998,0.8999999999999998,True,True,True,10.542425928188845,0.3999999999999998,False
FT-028,11,0.9090909090909091,505.61048964343286,41.68841358259055,-0.02727272727272728,0.02727272727272728,1845.2675702568588,1057.465322843472,5,1.0,236.96330568667722,79.86555546225469,0.7,0.7,False,False,False,38.17714187966414,0.6727272727272727,False
FT-029,11,1.0,1590.8318281935326,45.44139219181043,-0.4272727272727273,0.4272727272727273,1845.2657451181792,1070.965956893128,5,1.0,1024.3680360401904,49.84470431021096,0.8999999999999998,0.8999999999999998,False,False,False,4.403312118400528,0.4727272727272725,False
FT-030,11,1.0,5256.516302450767,15.993402202516048,-0.43636363636363645,0.43636363636363645,943.6407760815548,1013.782160621757,5,1.0,3822.913022804443,25.468903395979254,0.8999999999999998,0.8999999999999998,True,True,True,9.475501193463206,0.46363636363636335,False
FT-031,11,1.0,8703.615182079611,13.560675769523998,-0.26363636363636367,0.26363636363636367,923.62339275087,1057.5964004037503,5,1.0,5106.16835071332,21.98528065311269,0.8999999999999998,0.8999999999999998,True,True,True,8.42460488358869,0.6363636363636361,False
FT-032,11,1.0,4945.637645832655,16.24726437076117,-0.39090909090909093,0.39090909090909093,923.6242483918668,1071.5163479969956,5,1.0,2996.6969131901656,28.039508962946595,0.8999999999999998,0.8999999999999998,True,True,True,11.792244592185426,0.5090909090909088,False
FT-033,11,1.0,2115.69776163693,14.826828427129955,-0.27272727272727276,0.27272727272727276,924.6276314779026,1057.7246344641724,5,1.0,1200.5638182899752,23.659186219026633,0.8999999999999998,0.8999999999999998,True,True,True,8.832357791896678,0.627272727272727,False
FT-034,11,1.0,1174.3463061664256,17.868719423910896,-0.3454545454545455,0.3454545454545455,924.6284568794596,1071.194488617538,5,1.0,713.3022051880502,26.50975633165072,0.8999999999999998,0.8999999999999998,True,True,True,8.641036907739824,0.5545454545454542,False
FT-035,11,1.0,4825.546196539682,15.11694873843498,-0.11818181818181818,0.11818181818181818,924.1258165788284,1057.66078474932,5,1.0,2861.7989454327,25.298615934105,0.8999999999999998,0.8999999999999998,True,True,True,10.181667195670022,0.7818181818181816,False
FT-036,11,1.0,2744.806913217101,16.043568746907855,-0.3272727272727273,0.3272727272727273,924.1258325459404,1071.4321892574976,5,1.0,1654.0958986806668,24.670826338939154,0.8999999999999998,0.8999999999999998,True,True,True,8.627257592031299,0.5727272727272725,False
