feature,Dunn,French,LMU,q_value__French_vs_Dunn,auc_abs__French_vs_Dunn,raw_log2_fc__French_vs_Dunn,effect_direction__French_vs_Dunn,significant_fdr_05__French_vs_Dunn,q_value__French_vs_LMU,auc_abs__French_vs_LMU,raw_log2_fc__French_vs_LMU,effect_direction__French_vs_LMU,significant_fdr_05__French_vs_LMU,q_value__LMU_vs_Dunn,auc_abs__LMU_vs_Dunn,raw_log2_fc__LMU_vs_Dunn,effect_direction__LMU_vs_Dunn,significant_fdr_05__LMU_vs_Dunn,n_strong_tasks,clinical_profile,profile_note
FT-002,7.248595200778398,7.37049277567329,7.336073915494046,0.0057748020412430765,0.7352071005917159,0.06384418793205625,French > Dunn,True,0.9555146550693046,0.5064102564102564,-0.08475343914489548,French > LMU,False,0.030581690556412335,0.6891025641025641,0.14859762707695184,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-004,8.483066197997818,8.649305945773337,8.611466996502752,0.0027863291204515556,0.7544378698224852,0.0915769084470928,French > Dunn,True,0.831179809321972,0.5224358974358974,-0.025172934776093704,French > LMU,False,0.011189987760409038,0.7227564102564102,0.11674984322318664,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-005,10.289423613986042,10.420952911573043,10.427732656959211,0.0011371302685897046,0.7781065088757396,0.08093085422860918,French > Dunn,True,0.763040947591776,0.532051282051282,-0.09911324810285524,French < LMU,False,0.004720920659165824,0.7467948717948718,0.1800441023314644,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-006,9.542770272096684,9.698865934730453,9.649389239658039,0.0015599909833124124,0.7692307692307693,0.11158558515129836,French > Dunn,True,0.9229841368506082,0.5112179487179487,-0.054522319479105213,French > LMU,False,0.008532533004227735,0.7307692307692308,0.16610790463040337,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-007,7.516949763301821,7.592562941212931,7.5770087197742075,0.002083164056381955,0.7618343195266273,0.04618360923269233,French > Dunn,True,0.5437870202644245,0.5608974358974359,0.0766799030896825,French > LMU,False,0.015561634359095711,0.7115384615384616,-0.030496293856989938,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-008,8.697543357582612,8.781183542653073,8.763567209184572,0.0008086956467013231,0.7869822485207101,0.03806027617181028,French > Dunn,True,0.698031622315522,0.5400641025641026,0.006685170548127541,French > LMU,False,0.008984758686771082,0.7291666666666666,0.031375105623682585,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-009,9.635716903545168,9.718513479925456,9.703385181607224,0.0003443902724987079,0.8062130177514794,0.029171653897844374,French > Dunn,True,0.679248612321866,0.5432692307692308,0.0011777562114609712,French > LMU,False,0.004031401988208413,0.7516025641025641,0.02799389768638345,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-010,10.25693623564025,10.328845343279443,10.320144498830333,0.00026184315087000154,0.8121301775147929,-0.01022168527981456,French > Dunn,True,0.8961949276289886,0.5144230769230769,-0.032326023266408425,French > LMU,False,0.0014622673510006736,0.7772435897435896,0.02210433798659386,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-011,6.795748222526402,6.8618297639344235,6.838243696844521,0.020040910930088116,0.6997041420118343,0.004151125159774428,French > Dunn,True,0.24667875661596622,0.6073717948717948,0.0734330640329106,French > LMU,False,0.15291935603126908,0.6282051282051282,-0.06928193887313608,LMU > Dunn,False,0,non-specific but discriminative,"Strong separation exists, but the pattern is not cleanly attributable to one clinical interpretation."
FT-012,7.353118541727497,7.431207408140162,7.4219813657045,0.011119169997317095,0.7174556213017752,-0.00530131354651612,French > Dunn,True,0.698031622315522,0.5400641025641026,-0.01668853131390671,French > LMU,False,0.006750434973400094,0.7371794871794872,0.011387217767390488,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-014,8.058417997860204,7.771497190017268,7.9999335033939,6.788751309474513e-09,1.0,-0.49963885395627966,French < Dunn,True,8.212233262943234e-09,1.0,-0.3204478301155737,French < LMU,True,0.00565389164505238,0.7419871794871795,-0.1791910238407059,LMU < Dunn,True,2,cancer-specific low,French is clearly depleted relative to both comparison groups.
