feature,qc_mean_intensity,qc_std_intensity,qc_cv_pct,qc_log_sd,qc_detection_rate,Dunn_mean_intensity,Dunn_std_intensity,Dunn_cv_pct,Dunn_log_sd,Dunn_detection_rate,French_mean_intensity,French_std_intensity,French_cv_pct,French_log_sd,French_detection_rate,LMU_mean_intensity,LMU_std_intensity,LMU_cv_pct,LMU_log_sd,LMU_detection_rate,bio_cv_pct_median,bio_cv_pct_max,bio_log_sd_median,bio_detection_rate_median,bio_detection_rate_min,d_ratio_cv,d_ratio_log,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,blank_mean_intensity,blank_detection_rate,qc_mean_intensity_cont,bio_mean_intensity,blank_to_qc_ratio,blank_to_bio_ratio,blank_dominant_flag,carryover_spearman_rho,n_blank_contexts,bio_detection_rate_max,passes_mz_500,passes_qc_cv_30,passes_detection_70_any_class,passes_detection_70_all_classes,blank_dominant_veto,potential_carryover_flag,retained_main,retained_high_confidence,exclusion_reason,redundancy_cluster_id,redundancy_cluster_size,candidate_isomer_neighbor_count,candidate_isotope_or_adduct_neighbor_count,high_corr_near_duplicate_neighbor_count,high_corr_other_neighbor_count,redundancy_representative_flag,redundancy_role,n_tasks_significant,best_q_value,best_auc_abs,mean_auc_abs,max_abs_cliffs,n_tasks_auc_ge_090,max_selection_frequency,mean_selection_frequency,max_sign_consistency,n_task_views_selection_ge_050,target_tier,clinical_profile,profile_note,French,LMU,Dunn,n_strong_tasks,effect_direction__French_vs_Dunn,effect_direction__French_vs_LMU,effect_direction__LMU_vs_Dunn,raw_log2_fc__French_vs_Dunn,raw_log2_fc__French_vs_LMU,raw_log2_fc__LMU_vs_Dunn,q_value__French_vs_Dunn,q_value__French_vs_LMU,q_value__LMU_vs_Dunn,auc_abs__French_vs_Dunn,auc_abs__French_vs_LMU,auc_abs__LMU_vs_Dunn,positive_detection_rate_raw__French_vs_Dunn,positive_detection_rate_raw__French_vs_LMU,positive_detection_rate_raw__LMU_vs_Dunn,negative_detection_rate_raw__French_vs_Dunn,negative_detection_rate_raw__French_vs_LMU,negative_detection_rate_raw__LMU_vs_Dunn,model_max_selection_frequency,model_mean_abs_coef,model_max_sign_consistency,biological_interpretation_note,priority_rank
FT-046,6610.777976966396,882.4985701415895,13.349390543993996,0.1369811487358044,1.0,6917.041036523019,1029.6813517947776,14.88615357864591,0.1477540765815728,1.0,7712.581031773899,751.1978769822063,9.739902555155783,0.0968400165926968,1.0,4497.696904549683,660.8527451943933,14.693136492276794,0.1496327238329179,1.0,14.693136492276794,14.88615357864591,0.1477540765815728,1.0,1.0,0.9085460106499986,0.9270887944684166,1004.1671268211272,1004.2261217749128,1004.1153691754812,0.0293680548858246,1156.358765017695,1178.0238250061675,1158.835709078045,1153.6774251130128,1138.0932935777616,1.2480085387190163,1.0,1.0,1.0,0.0,0.0,5583.736964527925,6382.624485196641,0.0001790594626661,0.0001566508184055,False,,5,1.0,True,True,True,True,False,False,True,True,retained,RG-017,8,0,7,0,2,True,representative,3,6.788751309474513e-09,1.0,1.0,1.0,3,1.0,0.9933333333333333,1.0,9.0,Tier 1,cancer-specific high,"French is highest, while LMU stays below healthy.",8.93113251749807,8.438271165086753,8.782871169890429,3,French > Dunn,French > LMU,LMU < Dunn,0.17305373968500407,0.7786324100409848,-0.6055786703559807,6.788751309474513e-09,8.212233262943234e-09,1.1976173508458883e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.431586128404327,1.0,"French is highest, while LMU stays below healthy.",1
FT-178,1510.7574407189436,367.83106939405207,24.347460385103748,0.2582807507030983,1.0,1450.6667791604805,309.56596846474355,21.33956418605611,0.2594716549765548,1.0,1679.1258688084863,229.1803249530222,13.648787694257212,0.1363614110155887,1.0,1261.1295235666462,373.7460369107488,29.63581693446872,0.4241204834792494,1.0,21.33956418605611,29.63581693446872,0.2594716549765548,1.0,1.0,1.140953965733428,0.9954102721795792,1455.998949997305,1456.082154844198,1455.926444513204,0.041233206473815,1013.726434598975,1028.9705747968685,1016.3456457697848,1011.168015919862,1000.145713291808,1.295076577039198,1.0,1.0,1.0,0.0,0.0,1360.8780803096256,1463.4764966972964,0.0007342801198273,0.0006828378620313,False,,5,1.0,True,True,True,True,False,False,True,True,retained,RG-020,2,0,1,0,0,True,representative,2,5.04076030882419e-08,0.967948717948718,0.8193622616699541,0.9358974358974359,2,1.0,1.0,1.0,4.0,Tier 1,cancer-specific high,French is clearly highest relative to both comparison groups.,7.407155631172021,7.224649420505564,7.237010719134442,2,French > Dunn,French > LMU,LMU < Dunn,0.1665385899743753,0.2822692609881436,-0.11573067101376823,1.7448382460182494e-07,5.04076030882419e-08,0.6387294995150227,0.9452662721893491,0.967948717948718,0.5448717948717949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05159417465404266,1.0,French is clearly highest relative to both comparison groups.,2
FT-174,28.534948565135387,6.840222093642689,23.971383996115623,0.2488077418313656,0.9090909090909092,42.78142624756968,85.14422754511979,199.02147967765956,0.9665892576199262,0.3703703703703703,97.2041630102426,23.251326409421583,23.920093223755806,0.2389378500589421,1.0,85.63914429270048,73.76357206909495,86.13300924280983,1.1430564060057398,0.3846153846153846,86.13300924280983,199.02147967765956,0.9665892576199262,0.3846153846153846,0.3703703703703703,0.2783065889238822,0.257407931931724,1210.8304701216448,1210.9006110405176,1210.7634042850927,0.0393243797493412,928.6948296247882,936.6544350710782,933.2542365417872,923.4052741038936,921.7589794505756,2.2293708605911333,0.3703703703703703,1.0,0.3846153846153846,0.0,0.0,37.48465694808375,49.21328013165891,0.025984381291199,0.0199150503089622,False,,5,1.0,True,True,True,False,False,False,True,True,retained,RG-003,3,1,0,0,0,True,representative,2,5.859430537797802e-08,0.9615384615384616,0.7724358974358975,0.9230769230769231,1,1.0,0.6933333333333334,1.0,4.0,Tier 1,healthy-depleted,Dunn is lowest overall.,4.562984343322091,1.948485985200091,1.8201520753911031,1,French > Dunn,French > LMU,LMU > Dunn,3.9379271158138573,3.9756233462561474,-0.037696230442290125,5.859430537797802e-08,0.0001039516048691482,0.8069149674075146,0.9615384615384616,0.8333333333333334,0.5224358974358975,1.0,1.0,0.3333333333333333,0.34615384615384615,0.3333333333333333,0.34615384615384615,1.0,0.05027952354390536,1.0,Dunn is lowest overall.,3
FT-015,1948.2048682113164,335.9240659414338,17.242748512883658,0.1793591036019114,0.9090909090909092,2066.3966469167967,570.9602390147946,27.63071842314039,0.8069407118605975,1.0,1411.6876752169676,378.9761476769072,26.845608581137533,0.4839804421678657,1.0,1632.9332523941323,670.5500900217854,41.06414570458746,1.034697073242102,1.0,27.63071842314039,41.06414570458746,0.8069407118605975,1.0,1.0,0.6240427139398252,0.2222704852607517,1685.172273985871,1685.2705514689096,1685.0893153104369,0.0491659417086484,962.883033571473,978.8590223892908,965.5223748060172,960.160472210801,950.0644366637516,1.3022834918697654,1.0,1.0,1.0,0.0,0.0,1659.047450135412,1708.2639694258492,0.0006023924195169,0.0005850471418618,False,,5,1.0,True,True,True,True,False,False,True,True,retained,RG-002,1,0,0,0,0,True,singleton,3,1.4505916071587172e-07,0.9482248520710059,0.8630834976988823,0.8964497041420119,1,1.0,0.616,1.0,3.0,Tier 1,cancer-specific low,French is clearly depleted relative to both comparison groups.,7.311098293612716,7.5628737463439,7.617092332234768,2,French < Dunn,French < LMU,LMU < Dunn,-0.5175641205666425,-0.3237386363487134,-0.1938254842179291,1.4505916071587172e-07,7.059621969852433e-06,0.0036034470976637825,0.9482248520710059,0.8862179487179487,0.7548076923076923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009685547658765588,1.0,French is clearly depleted relative to both comparison groups.,4
FT-102,595.2975324589725,105.1812729031908,17.66868954902645,0.1721669875367504,1.0,616.1015013748932,125.68594800544533,20.40020154551877,0.2120311120795627,1.0,607.4260162741509,73.3245843992448,12.071360533584892,0.1171539362602065,1.0,503.6426854460259,91.6148124211813,18.19043839384806,0.1728215092319016,1.0,18.19043839384806,20.40020154551877,0.1728215092319016,1.0,1.0,0.9713174122841336,0.9962127301279792,1295.3371125063638,1295.4121806158155,1295.2703518474862,0.0390429682024521,1284.5115125888428,1294.5797058843823,1286.76247199753,1282.1484267015423,1273.3225453284513,1.1385088817335398,1.0,1.0,1.0,0.0,0.0,526.3788486510487,576.2345162259078,0.0018961700920653,0.0017323981360959,False,,5,1.0,True,True,True,True,False,False,True,True,retained,RG-016,8,1,0,0,0,True,representative,2,1.8461403903027396e-07,0.9471153846153846,0.8082264957264957,0.8942307692307693,1,1.0,0.86,1.0,4.0,Tier 1,benign-depleted,LMU is specifically low for this feature.,6.406922528061001,6.240582067249827,6.380332058447014,2,French > Dunn,French > LMU,LMU < Dunn,-0.04792359305529283,0.2494923399623951,-0.29741593301768793,0.1863630322150996,1.8461403903027396e-07,3.5080339464829276e-05,0.6153846153846154,0.9471153846153846,0.8621794871794872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,LMU is specifically low for this feature.,5
FT-110,3057.572263320515,912.4749291047112,29.843119001667223,0.4677711304322494,1.0,3226.9030056594324,793.9168322069155,24.603058437595493,0.653333578222849,1.0,2825.3568334846327,355.54610274710154,12.58411321831485,0.120158017576864,1.0,2853.947249405985,850.404097986457,29.797470789393824,0.5732015101014872,1.0,24.603058437595493,29.797470789393824,0.5732015101014872,1.0,1.0,1.2129841124168728,0.8160675123647686,1397.397689304656,1397.4807202889865,1397.32751164411,0.0396415334606327,1341.878177208506,1358.4040985107413,1343.935126354734,1339.536640575101,1327.251101175941,1.0627275704614252,1.0,1.0,1.0,0.0,0.0,2824.110301241298,2972.0036368096294,0.0003539684802963,0.0003363601670777,False,,5,1.0,True,True,True,True,False,False,True,True,retained,RG-013,2,0,1,0,0,True,representative,2,2.729383319908216e-07,0.9378698224852071,0.7827087442472057,0.8757396449704142,1,1.0,0.605,1.0,2.0,Tier 1,cancer-specific low,French is clearly depleted relative to both comparison groups.,7.9410984334996995,8.052948325601943,8.055319101151753,2,French < Dunn,French < LMU,LMU < Dunn,-0.2815742196113069,-0.13554295856162737,-0.1460312610496797,2.729383319908216e-07,3.6537581347093105e-06,0.8978805293661544,0.9378698224852071,0.8974358974358975,0.5128205128205128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05392344971451065,1.0,French is clearly depleted relative to both comparison groups.,6
FT-076,23152.514526849813,3135.561951005438,13.543073031523846,0.1371897518699396,1.0,24068.69687168032,3404.7506715331688,14.145970135754473,0.1403371789832725,1.0,22539.69817974451,2140.6167695095387,9.497095979010144,0.093044737113377,1.0,20273.604282270328,2976.373678783881,14.681028776845464,0.1430870654367492,1.0,14.145970135754473,14.681028776845464,0.1403371789832725,1.0,1.0,0.9573802928717642,0.9775723928887862,1076.70024884105,1076.7625959678255,1076.6463274354337,0.0309426276442148,1212.7298144435597,1251.1490926434903,1215.2321951852618,1209.9909453942582,1194.3964262931574,1.275060245925924,1.0,1.0,1.0,0.0,0.0,20958.55093644241,22316.46429807284,4.771094586102501e-05,4.480795786850893e-05,False,,5,1.0,True,True,True,True,False,False,True,True,retained,RG-010,25,1,7,0,0,True,representative,2,5.90630126173926e-07,0.9342948717948718,0.805802103879027,0.8685897435897436,2,1.0,0.812,1.0,4.0,Tier 1,benign-depleted,LMU is specifically low for this feature.,10.007995990003085,9.950002198681577,10.015183790650314,2,French < Dunn,French > LMU,LMU < Dunn,-0.07084667840229453,0.19035382999347913,-0.2612005083957737,0.45592733833065024,1.3243674767527715e-06,5.90630126173926e-07,0.5680473372781065,0.9150641025641025,0.9342948717948718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,LMU is specifically low for this feature.,7
FT-145,1085.0013862206083,173.3565501749655,15.977541814837616,0.1556454618677374,0.9090909090909092,860.100180918337,165.60026338976036,19.25360173892156,0.19499243586553,0.9629629629629628,679.7249247934143,196.23195167673936,28.86931823728242,0.71295336553404,1.0,1138.012470849773,491.3327394622425,43.174635783679605,1.0975387745376597,1.0,28.86931823728242,43.174635783679605,0.71295336553404,1.0,0.9629629629629628,0.5534436831349864,0.2183108592960363,1632.0422244647154,1632.143549164095,1631.944909954586,0.0498037752269419,1455.2449080604651,1465.325859832764,1457.0759410058563,1452.9375087822204,1445.226665496828,1.1451980467965952,0.9629629629629628,1.0,1.0,0.0,0.0,1057.5379063408889,881.3136327924005,0.0009446992819149,0.0011333838250182,False,,5,1.0,True,True,True,True,False,False,True,True,retained,RG-001,2,0,1,0,0,True,representative,3,6.323687115096237e-07,0.9278846153846154,0.8840811965811967,0.8557692307692307,1,1.0,0.5266666666666667,1.0,3.0,Tier 1,benign-associated,LMU is the dominant class for this feature.,6.585208837845547,7.182893156214966,6.68261750372346,2,French < Dunn,French < LMU,LMU > Dunn,-0.3035907309704244,-0.8834977203745599,0.5799069894041355,0.0001248578033529319,6.323687115096237e-07,5.5138531851067776e-06,0.826923076923077,0.9278846153846154,0.8974358974358974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.580046236389005e-05,1.0,LMU is the dominant class for this feature.,8
FT-040,886.5293864385967,118.68696932945446,13.387821221160957,0.1414291388719939,1.0,951.0122073465504,173.75886699485983,18.270939705355623,0.1883104607211186,1.0,753.6994522024642,116.15019627125176,15.410678080213152,0.150496224795471,1.0,789.8296231670555,152.89654677833602,19.358168178758863,0.1991974977750463,1.0,18.270939705355623,19.358168178758863,0.1883104607211186,1.0,1.0,0.7327385146608898,0.7510423920710684,1024.6859401518484,1024.745883352035,1024.635571164931,0.0299810881909713,1107.6170160866384,1125.2454211495194,1110.1572639572094,1104.5491052697555,1102.7951743386006,1.4042236421118546,1.0,1.0,1.0,0.0,0.0,780.9964350724675,833.0263994679034,0.0012787782081223,0.0011990028141051,False,,5,1.0,True,True,True,True,False,False,True,True,retained,RG-012,7,1,5,0,0,True,representative,3,1.1728097797819808e-06,0.9127218934911243,0.819197896120973,0.8254437869822485,1,1.0,0.8433333333333334,1.0,5.0,Tier 1,healthy-associated,Dunn is highest overall.,6.5957510100075005,6.711105939763549,6.789559998485157,1,French < Dunn,French < LMU,LMU < Dunn,-0.4038788077803356,-0.18886452951753832,-0.21501427826279731,1.1728097797819808e-06,0.0038960185505050077,0.0007073787193731706,0.9127218934911243,0.75,0.7948717948717949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08727057514329138,1.0,Dunn is highest overall.,9
FT-021,16339.373024466828,2304.5780701052786,14.104446153805094,0.1435439583864865,1.0,18071.716392432663,2298.184512170701,12.717024007376752,0.1288866123188612,1.0,13077.289781468897,1257.139455269022,9.61314979079568,0.0956616991724352,1.0,16024.025702075323,2199.269285200562,13.724823749600748,0.1392154453843337,1.0,12.717024007376752,13.724823749600748,0.1288866123188612,1.0,1.0,1.1090995932400176,1.113722797146406,842.0756790432796,842.1224037031269,842.033147766642,0.0247411020790879,963.2789284715732,991.4065647125228,965.900100453346,960.78786884497,946.0247929199916,1.2723722014800722,1.0,1.0,1.0,1.212012028116517,0.1666666666666666,15129.81390988583,15754.05753377002,0.0001461925340758,0.0001404001237935,False,-0.3535533905932737,5,1.0,True,True,True,True,False,False,True,False,retained,RG-026,7,0,6,1,2,True,representative,3,6.788751309474513e-09,1.0,0.9006410256410257,1.0,2,1.0,0.868,1.0,5.0,Tier 2,cancer-specific low,French is clearly depleted relative to both comparison groups.,9.470103409962633,9.698975706074418,9.732048965903106,2,French < Dunn,French < LMU,LMU < Dunn,-0.46676306472330403,-0.3021512162486492,-0.16461184847465485,6.788751309474513e-09,8.212233262943234e-09,0.020691076505192967,1.0,1.0,0.701923076923077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1265722288681944,1.0,French is clearly depleted relative to both comparison groups.,10
