redundancy_cluster_id,task_name,positive_class,negative_class,feature,n_positive,n_negative,median_transformed_positive,median_transformed_negative,median_diff_transformed,mean_diff_transformed,raw_median_positive,raw_median_negative,raw_log2_fc,u_statistic,p_value,auc_positive_class,auc_abs,rank_biserial,cliffs_delta,positive_detection_rate_raw,negative_detection_rate_raw,detection_rate_diff_raw,q_value,neglog10_q,effect_direction,significant_fdr_05,qc_mean_intensity,qc_std_intensity,qc_cv_pct,qc_log_sd,qc_detection_rate,Dunn_mean_intensity,Dunn_std_intensity,Dunn_cv_pct,Dunn_log_sd,Dunn_detection_rate,French_mean_intensity,French_std_intensity,French_cv_pct,French_log_sd,French_detection_rate,LMU_mean_intensity,LMU_std_intensity,LMU_cv_pct,LMU_log_sd,LMU_detection_rate,bio_cv_pct_median,bio_cv_pct_max,bio_log_sd_median,bio_detection_rate_median,bio_detection_rate_min,d_ratio_cv,d_ratio_log,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,blank_mean_intensity,blank_detection_rate,qc_mean_intensity_cont,bio_mean_intensity,blank_to_qc_ratio,blank_to_bio_ratio,blank_dominant_flag,carryover_spearman_rho,n_blank_contexts,bio_detection_rate_max,passes_mz_500,passes_qc_cv_30,passes_detection_70_any_class,passes_detection_70_all_classes,blank_dominant_veto,potential_carryover_flag,retained_main,retained_high_confidence,exclusion_reason,redundancy_cluster_size,candidate_isomer_neighbor_count,candidate_isotope_or_adduct_neighbor_count,high_corr_near_duplicate_neighbor_count,high_corr_other_neighbor_count,redundancy_representative_flag,redundancy_role,rank_within_task,feature_space,best_feature_in_cluster,best_q_value_in_cluster,best_auc_abs_in_cluster,best_cliffs_delta_in_cluster,best_effect_direction_in_cluster,representative_matches_best_feature,cluster_rank_within_task
RG-017,LMU_vs_Dunn,LMU,Dunn,FT-046,24,26,8.438271165086753,8.782871169890429,-0.3446000048036755,-0.34424479338496994,4475.16992958472,6809.890684614646,-0.6055786703559807,0.0,1.4590262142284933e-09,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.1976173508458883e-08,7.921681920645932,LMU < Dunn,True,6610.777976966396,882.4985701415895,13.349390543993996,0.1369811487358044,1.0,6917.041036523019,1029.6813517947776,14.88615357864591,0.1477540765815728,1.0,7712.581031773899,751.1978769822063,9.739902555155783,0.0968400165926968,1.0,4497.696904549683,660.8527451943933,14.693136492276794,0.1496327238329179,1.0,14.693136492276794,14.88615357864591,0.1477540765815728,1.0,1.0,0.9085460106499986,0.9270887944684166,1004.1671268211272,1004.2261217749128,1004.1153691754812,0.0293680548858246,1156.358765017695,1178.0238250061675,1158.835709078045,1153.6774251130128,1138.0932935777616,1.2480085387190163,1.0,1.0,1.0,0.0,0.0,5583.736964527925,6382.624485196641,0.0001790594626661,0.0001566508184055,False,,5,1.0,True,True,True,True,False,False,True,True,retained,8,0,7,0,2,True,representative,7,main,FT-043,1.1976173508458883e-08,1.0,-1.0,LMU < Dunn,False,1
RG-021,LMU_vs_Dunn,LMU,Dunn,FT-030,24,26,8.495959729149611,8.710793796899154,-0.2148340677495426,-0.2026719415836986,4809.950094539043,6490.165927526434,-0.43215580091447003,0.0,1.4590262142284933e-09,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.1976173508458883e-08,7.921681920645932,LMU < Dunn,True,5256.516302450767,840.6957940917762,15.993402202516048,0.1676161713524356,1.0,6436.716473341391,947.17657421553,14.715213543091435,0.1461650833096618,1.0,4039.890057945192,458.01570695863455,11.337330976566104,0.1126013428389216,1.0,4813.59268467135,747.4913305086839,15.528761560757587,0.1584044058245737,1.0,14.715213543091435,15.528761560757587,0.1461650833096618,1.0,1.0,1.086861713265772,1.1467593186898677,943.6407760815548,943.6939445363817,943.5907638447396,0.0278931269507372,1013.782160621757,1034.6732477987937,1016.3046768281488,1011.0867446353868,997.308114574802,1.3509453587603917,1.0,1.0,1.0,0.0,0.0,4808.515277561291,5113.694887193008,0.0002079211609256,0.0001955150839014,False,,5,1.0,True,True,True,True,False,False,True,False,retained,4,0,3,3,3,True,representative,16,main,FT-218,1.1976173508458883e-08,1.0,-1.0,LMU < Dunn,False,2
RG-024,LMU_vs_Dunn,LMU,Dunn,FT-031,24,26,8.888566752971375,9.100985634486978,-0.21241888151560318,-0.2192690516210689,6897.800246686364,9645.499146312744,-0.4836599743506018,4.0,2.3557948502477837e-09,0.006410256410256406,0.9935897435897436,-0.9871794871794872,-0.9871794871794872,1.0,1.0,0.0,1.3649752514670982e-08,7.864875222798106,LMU < Dunn,True,8703.615182079611,1180.269035068882,13.560675769523998,0.1393356447358355,1.0,9591.620727260302,1216.1852641840148,12.679663831238658,0.130651761301701,1.0,8769.327128838859,906.9322926252432,10.342096711647358,0.1023951565263156,1.0,7060.0500622814325,1071.4244346200549,15.175875881449876,0.1510819429558106,1.0,12.679663831238658,15.175875881449876,0.130651761301701,1.0,1.0,1.0694822788688456,1.0664658734609913,923.62339275087,923.6774627241764,923.5744842259206,0.02721365046968,1057.5964004037503,1064.684185028079,1059.8854968782284,1054.9518501192424,1041.547487894696,1.2154796227379434,1.0,1.0,1.0,0.0,0.0,7579.413047277645,8487.81729879944,0.0001319189328817,0.0001178020405906,False,,5,1.0,True,True,True,True,False,False,True,False,retained,9,1,7,0,1,True,representative,32,main,FT-032,1.1976173508458883e-08,1.0,-1.0,LMU < Dunn,False,3
RG-010,LMU_vs_Dunn,LMU,Dunn,FT-076,24,26,9.950002198681577,10.015183790650314,-0.06518159196873619,-0.08786507383326736,19608.712735142915,23500.761767267395,-0.2612005083957737,41.0,1.4990612339439745e-07,0.0657051282051282,0.9342948717948718,-0.8685897435897436,-0.8685897435897436,1.0,1.0,0.0,5.90630126173926e-07,6.228684404818597,LMU < Dunn,True,23152.514526849813,3135.561951005438,13.543073031523846,0.1371897518699396,1.0,24068.69687168032,3404.7506715331688,14.145970135754473,0.1403371789832725,1.0,22539.69817974451,2140.6167695095387,9.497095979010144,0.093044737113377,1.0,20273.604282270328,2976.373678783881,14.681028776845464,0.1430870654367492,1.0,14.145970135754473,14.681028776845464,0.1403371789832725,1.0,1.0,0.9573802928717642,0.9775723928887862,1076.70024884105,1076.7625959678255,1076.6463274354337,0.0309426276442148,1212.7298144435597,1251.1490926434903,1215.2321951852618,1209.9909453942582,1194.3964262931574,1.275060245925924,1.0,1.0,1.0,0.0,0.0,20958.55093644241,22316.46429807284,4.771094586102501e-05,4.480795786850893e-05,False,,5,1.0,True,True,True,True,False,False,True,True,retained,25,1,7,0,0,True,representative,50,main,FT-193,1.1976173508458883e-08,1.0,-1.0,LMU < Dunn,False,4
RG-001,LMU_vs_Dunn,LMU,Dunn,FT-145,24,26,7.182893156214966,6.68261750372346,0.5002756524915064,0.34820737091567633,1289.6959780910395,862.484524050502,0.5799069894041355,560.0,1.5394006354359023e-06,0.8974358974358974,0.8974358974358974,0.7948717948717949,0.7948717948717948,1.0,1.0,0.0,5.5138531851067776e-06,5.258544801840482,LMU > Dunn,True,1085.0013862206083,173.3565501749655,15.977541814837616,0.1556454618677374,0.9090909090909092,860.100180918337,165.60026338976036,19.25360173892156,0.19499243586553,0.9629629629629628,679.7249247934143,196.23195167673936,28.86931823728242,0.71295336553404,1.0,1138.012470849773,491.3327394622425,43.174635783679605,1.0975387745376597,1.0,28.86931823728242,43.174635783679605,0.71295336553404,1.0,0.9629629629629628,0.5534436831349864,0.2183108592960363,1632.0422244647154,1632.143549164095,1631.944909954586,0.0498037752269419,1455.2449080604651,1465.325859832764,1457.0759410058563,1452.9375087822204,1445.226665496828,1.1451980467965952,0.9629629629629628,1.0,1.0,0.0,0.0,1057.5379063408889,881.3136327924005,0.0009446992819149,0.0011333838250182,False,,5,1.0,True,True,True,True,False,False,True,True,retained,2,0,1,0,0,True,representative,55,main,FT-145,5.5138531851067776e-06,0.8974358974358974,0.7948717948717948,LMU > Dunn,True,5
RG-005,LMU_vs_Dunn,LMU,Dunn,FT-028,24,26,6.218182953833056,6.475140477159766,-0.25695752332670985,-0.46368418035728975,482.9336069526175,688.4771600300517,-0.5106936298862894,72.0,3.3080282949017956e-06,0.1153846153846154,0.8846153846153846,-0.7692307692307692,-0.7692307692307693,1.0,1.0,0.0,1.1235889208545753e-05,4.9493925518088755,LMU < Dunn,True,555.7034288030117,136.73290474117934,24.60537359571504,0.2716816191609109,0.9090909090909092,639.3515506917423,184.40183354408424,28.84200927401707,0.8176455099697597,1.0,573.1177919836174,155.02991656993234,27.050271120245363,0.3506755015950928,0.9615384615384616,413.5039091888864,171.46050287180628,41.46526769435789,0.7372262169052736,0.9615384615384616,28.84200927401707,41.46526769435789,0.7372262169052736,0.9615384615384616,0.9615384615384616,0.8531088580531491,0.3685186621568822,1845.2675702568588,1845.3714278358416,1845.1623419189225,0.0547059411325117,1057.465322843472,1063.011718921446,1060.0061878004767,1054.8746688276972,1047.5546058911905,1.2638959113625776,1.0,0.9615384615384616,0.9615384615384616,0.0,0.0,421.6582446569468,530.7346126327803,0.0023659777435825,0.0018806374011439,False,,5,1.0,True,True,True,True,False,False,True,True,retained,1,0,0,0,0,True,singleton,58,main,FT-028,1.1235889208545753e-05,0.8846153846153846,-0.7692307692307693,LMU < Dunn,True,6
RG-006,LMU_vs_Dunn,LMU,Dunn,FT-156,24,26,7.45436827342334,7.5699809550381545,-0.11561268161481486,-0.2982413752221156,1707.0200792688559,2045.2323975379945,-0.260645070947301,80.0,6.94531577749783e-06,0.1282051282051282,0.8717948717948718,-0.7435897435897436,-0.7435897435897436,1.0,1.0,0.0,2.1717892193128136e-05,4.6631823270258215,LMU < Dunn,True,2067.210688115104,388.6049358611448,18.79851618876242,0.1843025114301495,0.9090909090909092,1988.40151440123,464.9820200114352,23.38471463855507,0.4314863783948948,1.0,1868.912320000172,482.2281241500231,25.802608233112764,0.444972533041154,1.0,1538.7698878048118,564.4279108071868,36.68046244473837,1.0449765627870082,0.9615384615384616,25.802608233112764,36.68046244473837,0.444972533041154,1.0,0.9615384615384616,0.728551006120307,0.4141885121999296,1560.001369125993,1560.0914572782103,1559.9171022035998,0.0453103280372081,1419.237135066407,1434.9778151004848,1421.147539593874,1416.8768402638188,1406.173628949106,1.0870526004769543,1.0,1.0,0.9615384615384616,0.0,0.0,1732.6610796448415,1781.617827898203,0.0005768140103859,0.0005609727359111,False,,5,1.0,True,True,True,True,False,False,True,True,retained,1,0,0,0,0,True,singleton,62,main,FT-156,2.1717892193128136e-05,0.8717948717948718,-0.7435897435897436,LMU < Dunn,True,7
RG-016,LMU_vs_Dunn,LMU,Dunn,FT-102,24,26,6.240582067249827,6.380332058447014,-0.13974999119718667,-0.1247101742155099,497.6909412303082,611.8618619840219,-0.29741593301768793,86.0,1.1930876873825186e-05,0.1378205128205128,0.8621794871794872,-0.7243589743589743,-0.7243589743589743,1.0,1.0,0.0,3.5080339464829276e-05,4.454936212712244,LMU < Dunn,True,595.2975324589725,105.1812729031908,17.66868954902645,0.1721669875367504,1.0,616.1015013748932,125.68594800544533,20.40020154551877,0.2120311120795627,1.0,607.4260162741509,73.3245843992448,12.071360533584892,0.1171539362602065,1.0,503.6426854460259,91.6148124211813,18.19043839384806,0.1728215092319016,1.0,18.19043839384806,20.40020154551877,0.1728215092319016,1.0,1.0,0.9713174122841336,0.9962127301279792,1295.3371125063638,1295.4121806158155,1295.2703518474862,0.0390429682024521,1284.5115125888428,1294.5797058843823,1286.76247199753,1282.1484267015423,1273.3225453284513,1.1385088817335398,1.0,1.0,1.0,0.0,0.0,526.3788486510487,576.2345162259078,0.0018961700920653,0.0017323981360959,False,,5,1.0,True,True,True,True,False,False,True,True,retained,8,1,0,0,0,True,representative,66,main,FT-112,1.8029699856200558e-07,0.953525641025641,-0.907051282051282,LMU < Dunn,False,8
RG-011,LMU_vs_Dunn,LMU,Dunn,FT-168,24,26,8.40235556468378,8.281129783541761,0.12122578114201943,0.11819266935429873,4426.256828780619,4256.791122604329,0.05630789153918844,533.0,1.8542490639938033e-05,0.8541666666666666,0.8541666666666666,0.7083333333333333,0.7083333333333334,1.0,1.0,0.0,5.218386651525418e-05,4.282463745396244,LMU > Dunn,True,4272.505543503742,647.1068858692253,15.14584075503748,0.1549091845619992,1.0,4228.6050966851,811.5313554095404,19.191467087946293,0.2069617323617849,1.0,4544.164145292001,573.1416536814055,12.612696974760718,0.1238463724811625,1.0,4226.153285283751,1065.088414705093,25.20231384919067,0.5655774027785154,1.0,19.191467087946293,25.20231384919067,0.2069617323617849,1.0,1.0,0.7891966093905465,0.7484919206764573,1336.3262451050714,1336.405389862383,1336.2566589899025,0.0391003658010661,1551.2877356272045,1571.0304137199175,1553.9989897891342,1548.747391469725,1537.806266046342,1.2870543607151437,1.0,1.0,1.0,0.0,0.0,4360.541664934453,4331.653048170472,0.0002292767275479,0.0002308054646614,False,,5,1.0,True,True,True,True,False,False,True,True,retained,6,0,5,0,0,True,representative,70,main,FT-169,1.3324769093593748e-05,0.8814102564102564,0.7628205128205128,LMU > Dunn,False,9
RG-018,LMU_vs_Dunn,LMU,Dunn,FT-161,24,26,7.779636680351878,7.630103209739933,0.14953347061194489,0.13770281092124304,2267.8197612717345,2258.821269630088,0.005733329828440028,524.0,4.008491271869131e-05,0.8397435897435898,0.8397435897435898,0.6794871794871795,0.6794871794871795,1.0,1.0,0.0,0.00010528970407442916,3.977614094933023,LMU > Dunn,True,2252.563161035589,320.3131827392607,14.21994234301517,0.1530022647655249,1.0,2289.2257960955617,420.4224160972272,18.365266406410747,0.1712468501816914,1.0,2404.156180008782,392.6592100237592,16.332516717874995,0.1649602797032179,1.0,2394.185734845982,383.955309576996,16.03698927734593,0.1595972948967543,1.0,16.332516717874995,18.365266406410747,0.1649602797032179,1.0,1.0,0.8706522447610456,0.9275097316808218,1255.783773964013,1255.857464327852,1255.718137993478,0.0376269232141806,1499.2176641397284,1516.2742759870457,1501.9539524350391,1496.516673083489,1484.1305376135774,1.3130847980307403,1.0,1.0,1.0,0.0,0.0,2261.558763434563,2361.594763048152,0.0004419774708887,0.0004232634456151,False,,5,1.0,True,True,True,True,False,False,True,True,retained,12,0,11,0,3,True,representative,74,main,FT-158,8.393241136435073e-05,0.844551282051282,0.6891025641025641,LMU > Dunn,False,10
