task_name,feature_space,model_name,feature,n_selected,mean_coef,mean_abs_coef,positive_coef_fraction,n_folds,selection_frequency,sign_consistency
French_vs_Dunn,high,linear_svm,FT-040,50,-0.17114417807807125,0.17114417807807125,0.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-046,50,0.15759987217068913,0.15759987217068913,1.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-050,50,0.13796886077862905,0.13796886077862905,1.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-174,50,0.13228767469124184,0.13228767469124184,1.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-095,50,-0.12518127134782467,0.12518127134782467,0.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-110,50,-0.11334129982271428,0.11334129982271428,0.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-233,50,-0.10273319407561252,0.10273319407561252,0.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-178,50,0.10165637330370951,0.10165637330370951,1.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-043,50,0.09489509402260846,0.09489509402260846,1.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-056,50,-0.07268968712022215,0.07268968712022215,0.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-172,50,0.0619774102811384,0.0619774102811384,1.0,50,1.0,1.0
French_vs_Dunn,high,linear_svm,FT-072,50,-0.031236172845409006,0.03908619402207143,0.14,50,1.0,0.72
French_vs_Dunn,high,linear_svm,FT-051,50,-0.03816331404566148,0.03836892046005056,0.04,50,1.0,0.92
French_vs_Dunn,high,linear_svm,FT-078,49,0.1016616597676124,0.1016616597676124,1.0,50,0.98,1.0
French_vs_Dunn,high,linear_svm,FT-060,49,-0.07977016576468932,0.07977016576468932,0.0,50,0.98,1.0
French_vs_Dunn,high,linear_svm,FT-115,49,-0.05095838548516414,0.05095838548516414,0.0,50,0.98,1.0
French_vs_Dunn,high,linear_svm,FT-200,37,0.06408348783784418,0.06408348783784418,1.0,50,0.74,1.0
French_vs_Dunn,high,linear_svm,FT-015,34,-0.044110647837903055,0.04553208957508676,0.058823529411764705,50,0.68,0.8823529411764706
French_vs_Dunn,high,linear_svm,FT-168,23,0.10831107853015215,0.10831107853015215,1.0,50,0.46,1.0
French_vs_Dunn,high,linear_svm,FT-038,18,-0.09999548010723869,0.09999548010723869,0.0,50,0.36,1.0
French_vs_Dunn,high,linear_svm,FT-079,18,-0.032121547305723114,0.03640615362216557,0.16666666666666666,50,0.36,0.6666666666666667
French_vs_Dunn,high,linear_svm,FT-202,17,0.12134174926821084,0.12134174926821084,1.0,50,0.34,1.0
French_vs_Dunn,high,linear_svm,FT-206,14,0.08243397978671171,0.08243397978671171,1.0,50,0.28,1.0
French_vs_Dunn,high,linear_svm,FT-133,14,-0.0045087908341292695,0.012873133748910637,0.42857142857142855,50,0.28,0.1428571428571429
French_vs_Dunn,high,linear_svm,FT-217,10,-0.0754384278155943,0.0754384278155943,0.0,50,0.2,1.0
French_vs_Dunn,high,linear_svm,FT-245,7,0.009736154232978047,0.020669340474447857,0.42857142857142855,50,0.14,0.1428571428571429
French_vs_Dunn,high,linear_svm,FT-158,3,0.08429502830197232,0.08429502830197232,1.0,50,0.06,1.0
French_vs_Dunn,high,linear_svm,FT-023,3,0.010125908562492686,0.024962278918977097,0.6666666666666666,50,0.06,0.33333333333333326
French_vs_Dunn,high,linear_svm,FT-161,2,0.06624316106429938,0.06624316106429938,1.0,50,0.04,1.0
French_vs_Dunn,high,linear_svm,FT-155,1,0.05986325700213577,0.05986325700213577,1.0,50,0.02,1.0
French_vs_Dunn,high,linear_svm,FT-145,1,0.019173233563895834,0.019173233563895834,1.0,50,0.02,1.0
French_vs_Dunn,high,linear_svm,FT-146,1,-0.0023469116727589945,0.0023469116727589945,0.0,50,0.02,1.0
French_vs_Dunn,high,logreg_l1,FT-050,50,1.0152213885090027,1.0152213885090027,1.0,50,1.0,1.0
French_vs_Dunn,high,logreg_l1,FT-046,50,0.8908380866647204,0.8908380866647204,1.0,50,1.0,1.0
French_vs_Dunn,high,logreg_l1,FT-095,50,-0.577976739416663,0.577976739416663,0.0,50,1.0,1.0
French_vs_Dunn,high,logreg_l1,FT-040,50,-0.5236234508597483,0.5236234508597483,0.0,50,1.0,1.0
French_vs_Dunn,high,logreg_l1,FT-233,50,-0.33890547096484375,0.33890547096484375,0.0,50,1.0,1.0
French_vs_Dunn,high,logreg_l1,FT-043,50,0.3229086962504026,0.3229086962504026,0.76,50,1.0,0.52
French_vs_Dunn,high,logreg_l1,FT-174,50,0.26359801019144397,0.26359801019144397,0.98,50,1.0,0.96
French_vs_Dunn,high,logreg_l1,FT-110,50,-0.2067901074239955,0.2067901074239955,0.0,50,1.0,1.0
French_vs_Dunn,high,logreg_l1,FT-056,50,-0.08433804944303151,0.08433804944303151,0.0,50,1.0,1.0
French_vs_Dunn,high,logreg_l1,FT-178,50,0.009692999905520678,0.009692999905520678,0.08,50,1.0,0.84
French_vs_Dunn,high,logreg_l1,FT-172,50,0.008024861550786362,0.008024861550786362,0.12,50,1.0,0.76
French_vs_Dunn,high,logreg_l1,FT-051,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,high,logreg_l1,FT-072,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,high,logreg_l1,FT-060,49,0.0,0.0,0.0,50,0.98,1.0
French_vs_Dunn,high,logreg_l1,FT-078,49,0.0,0.0,0.0,50,0.98,1.0
French_vs_Dunn,high,logreg_l1,FT-115,49,0.0,0.0,0.0,50,0.98,1.0
French_vs_Dunn,high,logreg_l1,FT-200,37,0.0,0.0,0.0,50,0.74,1.0
French_vs_Dunn,high,logreg_l1,FT-015,34,0.0,0.0,0.0,50,0.68,1.0
French_vs_Dunn,high,logreg_l1,FT-168,23,0.04413723428919126,0.04413723428919126,0.34782608695652173,50,0.46,0.30434782608695654
French_vs_Dunn,high,logreg_l1,FT-038,18,-0.31825655932816055,0.31825655932816055,0.0,50,0.36,1.0
French_vs_Dunn,high,logreg_l1,FT-079,18,0.0,0.0,0.0,50,0.36,1.0
French_vs_Dunn,high,logreg_l1,FT-202,17,0.0,0.0,0.0,50,0.34,1.0
French_vs_Dunn,high,logreg_l1,FT-133,14,0.0,0.0,0.0,50,0.28,1.0
French_vs_Dunn,high,logreg_l1,FT-206,14,0.0,0.0,0.0,50,0.28,1.0
French_vs_Dunn,high,logreg_l1,FT-217,10,0.0,0.0,0.0,50,0.2,1.0
French_vs_Dunn,high,logreg_l1,FT-245,7,0.0,0.0,0.0,50,0.14,1.0
French_vs_Dunn,high,logreg_l1,FT-023,3,0.0,0.0,0.0,50,0.06,1.0
French_vs_Dunn,high,logreg_l1,FT-158,3,0.0,0.0,0.0,50,0.06,1.0
French_vs_Dunn,high,logreg_l1,FT-161,2,0.0,0.0,0.0,50,0.04,1.0
